,PRNAME,PCNAME,year,area_type,conn_type,avg_d_kbps,avg_u_kbps,avg_lat_ms
459,British Columbia / Colombie-Britannique,Okanagan Falls,2022,Rural,mobile,45911.75,14194.125,35.375
471,British Columbia / Colombie-Britannique,Peachland,2022,Rural,mobile,50183.02564102564,4317.346153846154,68.2051282051282
483,British Columbia / Colombie-Britannique,Port Alberni,2022,Urban,mobile,59507.125,9216.625,23.125
493,British Columbia / Colombie-Britannique,Prince George,2022,Urban,mobile,48371.51666666667,12708.2,35.233333333333334
495,British Columbia / Colombie-Britannique,Prince Rupert,2022,Rural,mobile,49721.23217592593,11788.326851851853,58.16388888888889
497,British Columbia / Colombie-Britannique,Princeton,2022,Rural,mobile,70687.80555555556,7867.583333333333,34.5
507,British Columbia / Colombie-Britannique,Roberts Creek,2022,Rural,mobile,83229.0,2272.0,23.0
510,British Columbia / Colombie-Britannique,Salmo,2022,Rural,fixed,28887.27023809524,6866.126785714286,27.488690476190477
511,British Columbia / Colombie-Britannique,Salmo,2022,Rural,mobile,37767.64,4898.5199999999995,46.14
515,British Columbia / Colombie-Britannique,Salmon Arm,2022,Urban,mobile,36626.30952380953,5664.214285714285,65.66666666666666
517,British Columbia / Colombie-Britannique,Sechelt,2022,Rural,mobile,58482.61724137931,9648.366666666665,31.26436781609195
519,British Columbia / Colombie-Britannique,Shawnigan - Mill Bay,2022,Rural,mobile,108533.4,9216.8,55.1
521,British Columbia / Colombie-Britannique,Shawnigan - Mill Bay,2022,Urban,mobile,19384.166666666668,2887.6666666666665,74.0
522,British Columbia / Colombie-Britannique,Sicamous,2022,Rural,fixed,88320.00378637567,9611.226686507936,22.568055555555556
523,British Columbia / Colombie-Britannique,Sicamous,2022,Rural,mobile,51365.548484848485,9347.370454545455,38.625
533,British Columbia / Colombie-Britannique,Squamish,2022,Rural,mobile,67118.16666666667,8137.6612903225805,51.79032258064516
539,British Columbia / Colombie-Britannique,Telkwa,2022,Rural,mobile,13241.291666666668,1883.4583333333333,43.333333333333336
548,British Columbia / Colombie-Britannique,Tumbler Ridge,2022,Rural,fixed,30587.95163690476,5570.921875,27.110119047619047
549,British Columbia / Colombie-Britannique,Tumbler Ridge,2022,Rural,mobile,94311.0625,7161.3125,40.697916666666664
567,British Columbia / Colombie-Britannique,Welcome Beach,2022,Rural,mobile,32130.0,21873.0,22.0
577,Manitoba,Altona,2022,Rural,mobile,28821.63125,9546.264583333334,92.26875
578,Manitoba,Arborg,2022,Rural,fixed,37444.3933531746,4370.378125,26.10639880952381
582,Manitoba,Boissevain,2022,Rural,fixed,69538.76001984127,8489.928075396825,21.579464285714284
598,Manitoba,Gimli,2022,Rural,fixed,35059.30303030303,11269.475,19.50340909090909
601,Manitoba,Grunthal,2022,Rural,mobile,93111.7,9144.9125,62.1875
606,Manitoba,Lac du Bonnet,2022,Rural,fixed,34270.53869047619,4298.929464285714,48.758630952380955
609,Manitoba,Lorette,2022,Rural,mobile,61931.791666666664,4014.7083333333335,63.70833333333333
611,Manitoba,Minnedosa,2022,Rural,mobile,65088.2,8151.5,53.6
613,Manitoba,Mitchell,2022,Urban,mobile,74924.90625,5346.458333333334,60.354166666666664
619,Manitoba,Morris,2022,Rural,mobile,59256.760416666664,3787.4479166666665,99.91666666666666
625,Manitoba,Oakbank,2022,Rural,mobile,97288.04166666667,6963.833333333333,49.416666666666664
627,Manitoba,Oakbank,2022,Urban,mobile,85881.07083333333,9195.125,61.24583333333334
628,Manitoba,Pinawa,2022,Rural,fixed,30273.31488095238,4869.592857142858,43.095238095238095
631,Manitoba,Portage la Prairie,2022,Rural,mobile,75300.90978835979,8855.185714285713,46.923280423280424
632,Manitoba,Roblin,2022,Rural,fixed,49952.48080357142,7587.912946428572,25.44375
634,Manitoba,Russell,2022,Rural,fixed,62584.402083333334,6942.303472222222,22.10138888888889
635,Manitoba,Russell,2022,Rural,mobile,45558.25,11720.0,44.916666666666664
647,Manitoba,Ste. Anne,2022,Rural,mobile,112690.66666666667,7057.277777777777,66.73611111111111
658,Manitoba,Stony Mountain,2022,Rural,fixed,34199.617944555444,4933.686521811522,26.6254995004995
659,Manitoba,Stony Mountain,2022,Rural,mobile,44331.055555555555,3512.6111111111113,72.5
660,Manitoba,Stony Mountain,2022,Urban,fixed,32843.875,5241.666666666667,34.70833333333333
661,Manitoba,Stony Mountain,2022,Urban,mobile,37079.166666666664,4460.0,80.33333333333333
662,Manitoba,Swan River,2022,Rural,fixed,63690.23343253968,8283.274107142857,23.273611111111112
663,Manitoba,Swan River,2022,Rural,mobile,46415.848958333336,13141.203125,63.208333333333336
664,Manitoba,Teulon,2022,Rural,fixed,60481.6765625,7023.656770833333,35.9421875
671,Manitoba,Virden,2022,Rural,mobile,39113.25,7395.8125,69.35416666666666
673,Manitoba,Winkler,2022,Rural,mobile,82840.18261626766,8005.780476517531,79.74036090397696
687,New Brunswick / Nouveau-Brunswick,Caraquet,2022,Rural,mobile,46922.680555555555,4387.925,51.11388888888889
689,New Brunswick / Nouveau-Brunswick,Chatham - Douglastown,2022,Rural,mobile,97420.9893939394,9583.313636363637,53.343939393939394
699,New Brunswick / Nouveau-Brunswick,Grand Falls / Grand-Sault,2022,Rural,mobile,42424.63333333333,7123.394444444445,52.84444444444444
703,New Brunswick / Nouveau-Brunswick,McEwen,2022,Rural,mobile,74054.83333333333,5391.666666666667,34.166666666666664
713,New Brunswick / Nouveau-Brunswick,Oromocto,2022,Urban,mobile,39311.225,5674.55,63.55
719,New Brunswick / Nouveau-Brunswick,Richibucto 15,2022,Rural,mobile,10658.5,7201.75,61.0
721,New Brunswick / Nouveau-Brunswick,Sackville,2022,Rural,mobile,48582.319444444445,13451.986111111111,38.27777777777778
729,New Brunswick / Nouveau-Brunswick,Saint-Antoine,2022,Rural,mobile,642.5,1632.0,26.0
731,New Brunswick / Nouveau-Brunswick,Saint-Quentin,2022,Rural,mobile,33601.5625,988.3125,64.3125
733,New Brunswick / Nouveau-Brunswick,Salisbury,2022,Rural,mobile,7502.690476190476,2507.976190476191,63.857142857142854
737,New Brunswick / Nouveau-Brunswick,Shediac,2022,Urban,mobile,57467.64166666666,9201.529166666667,46.33125
741,New Brunswick / Nouveau-Brunswick,St. Leonard,2022,Rural,mobile,9070.0,703.0,46.0
743,New Brunswick / Nouveau-Brunswick,St. Stephen,2022,Rural,mobile,42990.05392156862,7524.899509803922,42.41666666666667
749,New Brunswick / Nouveau-Brunswick,Tracadie-Sheila,2022,Rural,mobile,56890.256944444445,7240.777777777777,52.71527777777777
751,New Brunswick / Nouveau-Brunswick,Wells,2022,Rural,mobile,133431.1,8195.4,28.2
753,New Brunswick / Nouveau-Brunswick,Woodstock,2022,Rural,mobile,79325.00925925927,6880.527777777777,51.68518518518519
757,Newfoundland and Labrador / Terre-Neuve-et-Labrador,Bishop's Falls,2022,Rural,mobile,6998.0,1049.0,80.0
758,Newfoundland and Labrador / Terre-Neuve-et-Labrador,Bonavista,2022,Rural,fixed,160243.9177804834,8329.727958152958,31.919808201058203
762,Newfoundland and Labrador / Terre-Neuve-et-Labrador,Burgeo,2022,Rural,fixed,32787.25555555555,7874.695436507936,35.80426587301587
763,Newfoundland and Labrador / Terre-Neuve-et-Labrador,Burgeo,2022,Rural,mobile,7327.0,2809.5,60.166666666666664
769,Newfoundland and Labrador / Terre-Neuve-et-Labrador,Clarenville-Shoal Harbour,2022,Rural,mobile,33736.259420289854,11689.43188405797,48.01304347826087
771,Newfoundland and Labrador / Terre-Neuve-et-Labrador,Clarenville-Shoal Harbour,2022,Urban,mobile,3187.0,711.5,64.5
775,Newfoundland and Labrador / Terre-Neuve-et-Labrador,Deer Lake,2022,Rural,mobile,22595.0,12121.73076923077,54.69230769230769
777,Newfoundland and Labrador / Terre-Neuve-et-Labrador,Fortune,2022,Rural,mobile,61650.875,3118.875,46.75
783,Newfoundland and Labrador / Terre-Neuve-et-Labrador,Grand Bank,2022,Rural,mobile,40687.357142857145,5277.309523809524,46.357142857142854
790,Newfoundland and Labrador / Terre-Neuve-et-Labrador,Humber Arm South,2022,Rural,fixed,196689.52007575758,9561.09412878788,31.532954545454544
791,Newfoundland and Labrador / Terre-Neuve-et-Labrador,Humber Arm South,2022,Rural,mobile,45894.666666666664,7166.333333333333,45.666666666666664
795,Newfoundland and Labrador / Terre-Neuve-et-Labrador,Lewisporte,2022,Rural,mobile,63760.666666666664,6505.666666666667,64.66666666666667
799,Newfoundland and Labrador / Terre-Neuve-et-Labrador,Marystown,2022,Urban,mobile,1418.0,1465.5,36.0
804,Newfoundland and Labrador / Terre-Neuve-et-Labrador,Placentia,2022,Rural,fixed,111127.2380952381,9078.346726190475,22.56845238095238
805,Newfoundland and Labrador / Terre-Neuve-et-Labrador,Placentia,2022,Rural,mobile,46938.0,1942.7857142857142,77.21428571428571
806,Newfoundland and Labrador / Terre-Neuve-et-Labrador,Springdale,2022,Rural,fixed,133659.61725146198,9196.28006822612,23.55009746588694
815,Newfoundland and Labrador / Terre-Neuve-et-Labrador,Stephenville,2022,Rural,mobile,49124.56182795699,17133.889784946237,56.84139784946236
816,Newfoundland and Labrador / Terre-Neuve-et-Labrador,Wabana,2022,Rural,fixed,13130.901785714286,1202.3809523809523,86.60714285714286
817,Newfoundland and Labrador / Terre-Neuve-et-Labrador,Wabana,2022,Rural,mobile,19535.125,6309.625,58.125
819,Northwest Territories / Territoires du Nord-Ouest,Fort Smith,2022,Rural,mobile,77894.0,7061.833333333333,57.5
825,Northwest Territories / Territoires du Nord-Ouest,Yellowknife,2022,Rural,mobile,31856.241397849462,11276.893010752688,72.58198924731182
829,Nova Scotia / Nouvelle-Écosse,Amherst,2022,Rural,mobile,51007.441666666666,6190.778571428571,41.108333333333334
833,Nova Scotia / Nouvelle-Écosse,Berwick,2022,Rural,mobile,54758.166666666664,6614.458333333333,60.958333333333336
837,Nova Scotia / Nouvelle-Écosse,Bridgewater,2022,Urban,mobile,40307.875,3357.125,58.4375
839,Nova Scotia / Nouvelle-Écosse,Brookside,2022,Rural,mobile,173753.0,2711.0,29.0
845,Nova Scotia / Nouvelle-Écosse,Chester,2022,Rural,mobile,43877.0,15208.0,89.5
851,Nova Scotia / Nouvelle-Écosse,Enfield - Lantz,2022,Urban,mobile,33049.63888888889,16964.222222222223,28.11111111111111
855,Nova Scotia / Nouvelle-Écosse,Eskasoni 3,2022,Rural,mobile,101082.875,9657.875,34.5
867,Nova Scotia / Nouvelle-Écosse,Hayes Subdivision,2022,Rural,mobile,39691.333333333336,3905.444444444444,31.333333333333332
879,Nova Scotia / Nouvelle-Écosse,Liverpool,2022,Rural,mobile,41081.119791666664,2629.78125,81.40625
881,Nova Scotia / Nouvelle-Écosse,Lunenburg,2022,Rural,mobile,23721.85606060606,4643.689393939393,70.0909090909091
883,Nova Scotia / Nouvelle-Écosse,Middleton,2022,Rural,mobile,45250.2,6519.0,33.0
885,Nova Scotia / Nouvelle-Écosse,New Glasgow,2022,Rural,mobile,46920.31264367816,8448.316611932129,51.851450465243566
887,Nova Scotia / Nouvelle-Écosse,New Waterford,2022,Rural,mobile,80505.2564102564,5902.1891025641025,40.36538461538461
889,Nova Scotia / Nouvelle-Écosse,Pictou,2022,Rural,mobile,45345.142857142855,6688.428571428572,58.67857142857143
891,Nova Scotia / Nouvelle-Écosse,Port Hawkesbury,2022,Rural,mobile,42316.37280701754,5770.877192982456,52.29824561403509
905,Nova Scotia / Nouvelle-Écosse,Truro,2022,Urban,mobile,60375.67142857143,7984.457142857143,38.32857142857143
907,Nova Scotia / Nouvelle-Écosse,Windsor,2022,Rural,mobile,28147.303030303035,4922.0,45.666666666666664
912,Nunavut,Arviat,2022,Rural,fixed,49363.333333333336,4642.0,454.6666666666667
913,Nunavut,Arviat,2022,Rural,mobile,20073.75,10512.0,611.5
914,Nunavut,Baker Lake,2022,Rural,fixed,23910.95,4846.2,525.3666666666667
916,Nunavut,Cambridge Bay,2022,Rural,fixed,71296.5,7303.0,403.0
918,Nunavut,Iqaluit,2022,Urban,fixed,15085.70680672269,2128.3276890756306,157.5205042016807
919,Nunavut,Iqaluit,2022,Urban,mobile,47544.605902777774,16694.720238095237,347.90972222222223
921,Ontario,Acton,2022,Rural,mobile,137402.59102182538,8690.846974206348,30.753968253968253
926,Ontario,Alfred,2022,Rural,fixed,24537.63333333333,4995.175,75.4625
927,Ontario,Alfred,2022,Rural,mobile,59132.5,3594.625,29.125
933,Ontario,Almonte,2022,Rural,mobile,59990.11111111112,7010.970833333333,31.768055555555552
935,Ontario,Amherstburg,2022,Rural,mobile,67948.0301724138,8077.300287356322,34.50574712643678
937,Ontario,Amherstburg,2022,Urban,mobile,105489.15625,8499.458333333334,52.6875
939,Ontario,Amigo Beach,2022,Rural,mobile,67945.83333333333,8547.666666666666,23.333333333333336
941,Ontario,Angus - Borden CFB-BFC,2022,Rural,mobile,56885.469696969696,4639.898989898989,31.118686868686872
943,Ontario,Angus - Borden CFB-BFC,2022,Urban,mobile,18086.484375,2323.5989583333335,40.072916666666664
947,Ontario,Arnprior,2022,Urban,mobile,68052.99857804233,6049.417592592592,47.85505952380952
961,Ontario,Azilda,2022,Rural,mobile,87703.78125,6775.03125,36.59375
965,Ontario,Ballantrae,2022,Rural,mobile,68639.3,5485.2,51.25
970,Ontario,Barry's Bay,2022,Rural,fixed,22902.698214285716,7163.186607142858,32.72857142857143
971,Ontario,Barry's Bay,2022,Rural,mobile,34853.316666666666,9278.541666666668,37.858333333333334
973,Ontario,Bath,2022,Rural,mobile,17162.49583333333,4221.466666666667,38.43333333333334
975,Ontario,Bayfield,2022,Rural,mobile,53664.9375,5607.1875,39.625
983,Ontario,Beaverton,2022,Urban,mobile,17340.625,5429.75,33.0
985,Ontario,Beeton,2022,Rural,mobile,96227.67962962964,9653.437037037038,27.425925925925924
987,Ontario,Belleville,2022,Rural,mobile,71725.55305211568,9822.937091940772,37.96296058707226
995,Ontario,Blenheim,2022,Rural,mobile,41877.91428571429,3480.5619047619043,36.423809523809524
996,Ontario,Blind River,2022,Rural,fixed,191921.25632440476,9519.39181547619,27.857142857142858
997,Ontario,Blind River,2022,Rural,mobile,88416.80303030302,7390.060606060605,40.46969696969697
999,Ontario,Bobcaygeon,2022,Rural,mobile,61577.85444444444,4772.35,31.611111111111107
1004,Ontario,Bourget,2022,Rural,fixed,143343.675,9513.575,26.39090909090909
1005,Ontario,Bourget,2022,Rural,mobile,17050.0,742.5,174.5
1007,Ontario,Bowmanville,2022,Rural,mobile,87614.1718769326,9851.806478045764,33.46681612038755
1009,Ontario,Bowmanville,2022,Urban,mobile,58441.81785714286,6681.647222222223,36.410714285714285
1021,Ontario,Bridgenorth - Chemong Park Area,2022,Rural,mobile,32485.019047619047,6107.611904761905,49.839285714285715
1025,Ontario,Brighton,2022,Urban,mobile,71744.88571428572,8661.252380952381,66.31666666666666
1027,Ontario,Brockville,2022,Rural,mobile,64694.19442301926,9576.283445099274,38.64372688098337
1029,Ontario,Brockville,2022,Urban,mobile,51233.08333333333,8869.479166666668,32.708333333333336
1031,Ontario,Brussels,2022,Rural,mobile,25050.0,4532.25,24.25
1033,Ontario,Caledon East,2022,Rural,mobile,69371.51190476191,4815.148809523809,25.142857142857142
1036,Ontario,Campbellford,2022,Rural,fixed,126605.32604166666,7801.289583333333,19.897916666666664
1039,Ontario,Cannington,2022,Rural,mobile,94020.16666666667,5837.5,23.333333333333332
1042,Ontario,Cardinal,2022,Rural,fixed,132659.21875,9597.708333333334,38.447916666666664
1043,Ontario,Cardinal,2022,Rural,mobile,34194.07142857143,3969.6428571428573,39.857142857142854
1045,Ontario,Carleton Place,2022,Rural,mobile,47493.14487628385,7131.669082633053,35.15916199813258
1047,Ontario,Carleton Place,2022,Urban,mobile,54496.450793650794,9644.361111111111,34.445238095238096
1049,Ontario,Carlisle,2022,Rural,mobile,35787.229166666664,4367.291666666667,24.5625
1051,Ontario,Casselman,2022,Rural,mobile,42351.869791666664,12386.494791666666,33.619791666666664
1053,Ontario,Casselman,2022,Urban,mobile,28366.361904761903,9417.430952380953,43.738095238095234
1056,Ontario,Chalk River,2022,Rural,fixed,37067.62301587302,4679.928571428572,45.19444444444444
1057,Ontario,Chalk River,2022,Rural,mobile,47478.24166666667,9811.295833333334,36.19583333333333
1067,Ontario,Chesley,2022,Rural,mobile,70576.16666666667,8821.5,26.166666666666668
1069,Ontario,Chesterville,2022,Rural,mobile,20238.97619047619,4194.428571428572,35.42857142857143
1083,Ontario,Colborne,2022,Rural,mobile,66188.66666666667,8407.833333333334,36.333333333333336
1087,Ontario,Collingwood,2022,Urban,mobile,81770.4244047619,8217.90238095238,28.53095238095238
1091,Ontario,Constance Bay,2022,Rural,mobile,30943.966666666667,2476.838596491228,37.94649122807018
1097,Ontario,Corunna,2022,Rural,mobile,82019.5799019608,7898.943137254902,36.89607843137255
1099,Ontario,Creemore,2022,Rural,mobile,29285.375,3267.125,27.25
1103,Ontario,Crystal Beach,2022,Urban,mobile,52002.700000000004,8057.45,56.86666666666667
1104,Ontario,Deep River,2022,Rural,fixed,34933.02370962371,4429.425856018981,46.088921703296705
1105,Ontario,Deep River,2022,Rural,mobile,9937.590238095238,1390.8504761904762,46.81809523809524
1107,Ontario,Delhi,2022,Rural,mobile,65999.0,7023.012820512821,34.58974358974359
1111,Ontario,Dorchester,2022,Rural,mobile,49605.166666666664,4173.9,37.13333333333333
1112,Ontario,Dowling,2022,Rural,fixed,143344.40922619047,9209.831547619047,19.469940476190477
1114,Ontario,Drayton,2022,Urban,fixed,2348.0,426.0,20.0
1115,Ontario,Drayton,2022,Urban,mobile,59352.875,2592.125,32.75
1117,Ontario,Dresden,2022,Rural,mobile,43581.899305555555,1964.65625,50.74305555555555
1123,Ontario,Dunnville,2022,Rural,mobile,72934.50219298246,5754.331140350878,36.296052631578945
1125,Ontario,Durham,2022,Rural,mobile,15577.35,1329.6166666666668,34.0
1127,Ontario,Dutton,2022,Rural,mobile,46004.5,10874.666666666666,24.0
1128,Ontario,Eganville,2022,Rural,fixed,16437.479166666668,2389.0798611111113,40.34375
1129,Ontario,Eganville,2022,Rural,mobile,32849.24642857143,9835.630952380952,43.53928571428571
1131,Ontario,Elliot Lake,2022,Rural,mobile,79850.12916666667,7077.936742424243,36.17765151515152
1135,Ontario,Elmira,2022,Urban,mobile,31409.86111111111,7830.86111111111,30.222222222222225
1139,Ontario,Embrun,2022,Rural,mobile,40969.98245614035,5272.214912280701,31.04385964912281
1141,Ontario,Embrun,2022,Urban,mobile,48421.945238095235,6417.225892857143,29.501190476190477
